id,title,context,question,text
5731388f497a881900248c7f,Quantum_01,Question – Answer 11,How good is the answer?,"Question 11: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5acd8b8b07355d001abf46aa,Quantum_02,Question – Answer 12,How good is the answer?,"Question 12: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
573127b2a5e9cc1400cdbcb0,Quantum_03,Question – Answer 13,How good is the answer?,"Question 13: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5a53e21dbdaabd001a3867b3,Quantum_04,Question – Answer 14,How good is the answer?,"Question 14: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5727849df1498d1400e8fa89,Quantum_05,Question – Answer 15,How good is the answer?,"Question 15: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5725e5ce38643c19005ace55,Quantum_06,Question – Answer 16,How good is the answer?,"Question 16: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5709ba58200fba1400368294,Quantum_07,Question – Answer 17,How good is the answer?,"Question 17: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
570df5ec0dc6ce1900204d74,Quantum_08,Question – Answer 18,How good is the answer?,"Question 18: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
5a68da0f8476ee001a58a7eb,Quantum_09,Question – Answer 19,How good is the answer?,"Question 19: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
56f957e29b226e1400dd136b,Quantum_10,Question – Answer 20,How good is the answer?,"Question 20: Here you will find a question. <br><br> <strong>Gederated Answer:</Strong> Here you will find a generated answer. <br><br> <strong>Ground Truth:</Strong> Here you will find a model answer. <br> <hr size=""2""> <strong>How good is the generated answer?</Strong>"
